Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,PT-001,Professional Drill Set,1,1,visible,"High-performance drill set with multiple accessories","Our professional drill set includes a powerful 18V cordless drill, 2 rechargeable batteries, a charger, and 30+ drill bits. Perfect for both DIY enthusiasts and professionals.",,,taxable,,1,25,0,0,2.5,35,12,10,1,,79.99,99.99,"Power Tools","professional, drill",,,,,,,,,,,0,Color,"Black, Red",1,1,Power,18V,1,1
simple,PT-002,Circular Saw Pro,1,0,visible,"Heavy-duty circular saw for precision cutting","The Circular Saw Pro features a 1500W motor for smooth and accurate cutting through various materials. Includes laser guide, dust blower, and adjustable cutting depth.",,,taxable,,1,15,0,0,3.8,40,20,25,1,,129.99,149.99,"Power Tools","saw, professional",,,,,,,,,,,0,Blade Size,"7-1/4 inch",1,1,Power,1500W,1,1
simple,HT-001,Premium Screwdriver Set,1,1,visible,"Complete set of precision screwdrivers","This premium set includes 12 screwdrivers with various head types and sizes. Ergonomic handles provide comfort and maximum torque for all your fastening needs.",,,taxable,,1,50,0,0,0.8,25,15,5,1,,24.99,29.99,"Hand Tools","screwdriver, set",,,,,,,,,,,0,Material,"Chrome Vanadium Steel",1,1,Pieces,12,1,1
simple,HT-002,Professional Wrench Set,1,0,visible,"Complete wrench set for mechanical work","Our professional wrench set includes 15 different sizes covering metric and imperial measurements. Made from high-quality chrome vanadium steel for durability and strength.",,,taxable,,1,30,0,0,3.2,40,20,5,1,,39.99,49.99,"Hand Tools","wrench, mechanical",,,,,,,,,,,0,Material,"Chrome Vanadium Steel",1,1,Pieces,15,1,1
simple,SE-001,Safety Helmet Pro,1,1,visible,"Advanced protection hard hat","The Safety Helmet Pro exceeds industry standards with its durable ABS shell and comfortable 4-point suspension. Adjustable sizing ensures a perfect fit for all-day wear.",,,taxable,,1,100,1,0,0.45,30,25,20,1,,19.99,24.99,"Safety Equipment","helmet, protection",,,,,,,,,,,0,Color,"White, Yellow, Blue",1,1,Certification,"ANSI Z89.1",1,1
simple,SE-002,Heavy Duty Work Gloves,1,0,visible,"Cut-resistant work gloves","These heavy-duty work gloves feature a cut-resistant outer layer and comfortable interior lining. Perfect for construction, mechanical work, and handling sharp materials.",,,taxable,,1,150,1,0,0.2,25,12,2,1,,12.99,15.99,"Safety Equipment","gloves, protection",,,,,,,,,,,0,Size,"S, M, L, XL",1,1,Material,"Leather & Kevlar",1,1
simple,MT-001,Digital Laser Measure,1,1,visible,"Precision laser measuring tool","This digital laser measure provides accurate readings up to 100m with 1mm precision. Features area and volume calculation, Pythagoras function, and memory storage for 20 measurements.",,,taxable,,1,40,0,0,0.25,12,5,3,1,,59.99,69.99,"Measuring Tools","laser, measure",,,,,,,,,,,0,Range,"100m",1,1,Precision,"1mm",1,1
simple,MT-002,Professional Spirit Level,1,0,visible,"High-accuracy bubble level","Our professional spirit level features 3 vials for horizontal, vertical, and 45Â° measurements. The machined aluminum frame ensures durability and long-term accuracy.",,,taxable,,1,60,0,0,0.5,60,5,3,1,,19.99,24.99,"Measuring Tools","level, bubble",,,,,,,,,,,0,Length,"60cm",1,1,Material,"Aluminum",1,1
variable,PT-003,Variable Speed Rotary Tool,1,0,visible,"Versatile rotary tool with adjustable speeds","This multi-purpose rotary tool comes with 50 accessories for cutting, grinding, sanding, and polishing. Variable speed control allows for precision work on various materials.",,,taxable,,1,35,0,0,,,,,1,,,,,"Power Tools","rotary, multi-purpose",,,,,,,,,,,0,Power,"12V, 18V",1,1,Speed,"5000-30000 RPM",1,1
variation,PT-003-12V,Variable Speed Rotary Tool - 12V,1,0,visible,"12V model with all accessories","12V model of our versatile rotary tool with 50 accessories for cutting, grinding, sanding, and polishing.",,,taxable,,1,20,0,0,0.9,25,8,5,1,,49.99,59.99,"Power Tools",,,,,,PT-003,,,,,0,Power,12V,1,1,Speed,"5000-25000 RPM",1,1
variation,PT-003-18V,Variable Speed Rotary Tool - 18V,1,0,visible,"18V model with all accessories","More powerful 18V model of our versatile rotary tool with 50 accessories for cutting, grinding, sanding, and polishing.",,,taxable,,1,15,0,0,1.1,25,8,5,1,,69.99,79.99,"Power Tools",,,,,,PT-003,,,,,0,Power,18V,1,1,Speed,"5000-30000 RPM",1,1
